,Order Date,Sub-Category,Discount,Sales,Quantity,Profit
0,2015-06-01,Appliances,0.0,1503.25,5,496.07249999999993
1,2015-06-01,Appliances,0.1,65.52000000000001,5,12.376000000000001
2,2015-06-01,Art,0.0,289.20000000000005,6,83.86799999999997
3,2015-06-01,Binders,0.0,184.04000000000002,7,87.4296
4,2015-06-01,Chairs,0.0,2001.8600000000001,7,580.5393999999999
5,2015-06-01,Furnishings,0.0,22.200000000000003,6,9.102000000000002
6,2015-06-01,Paper,0.0,73.80000000000001,10,36.381600000000006
7,2015-06-01,Phones,0.0,881.93,7,229.30180000000001
8,2015-06-01,Storage,0.0,166.72,2,41.68000000000001
9,2015-06-01,Accessories,0.0,0.0,0,0.0
10,2015-06-01,Labels,0.0,0.0,0,0.0
11,2015-06-01,Tables,0.0,0.0,0,0.0
12,2015-06-01,Envelopes,0.0,0.0,0,0.0
13,2015-06-01,Bookcases,0.0,0.0,0,0.0
14,2015-06-01,Fasteners,0.0,0.0,0,0.0
15,2015-06-01,Supplies,0.0,0.0,0,0.0
16,2015-06-01,Machines,0.0,0.0,0,0.0
17,2015-06-01,Copiers,0.0,0.0,0,0.0
18,2015-06-02,Art,0.0,8.56,2,2.6536
19,2015-06-02,Binders,0.2,59.80800000000001,3,19.4376
20,2015-06-02,Furnishings,0.0,73.32000000000001,6,21.99599999999999
21,2015-06-02,Phones,0.0,239.96999999999997,3,67.1916
22,2015-06-02,Storage,0.0,356.94,2,107.08199999999997
23,2015-06-02,Paper,0.0,0.0,0,0.0
24,2015-06-02,Accessories,0.0,0.0,0,0.0
25,2015-06-02,Chairs,0.0,0.0,0,0.0
26,2015-06-02,Appliances,0.0,0.0,0,0.0
27,2015-06-02,Labels,0.0,0.0,0,0.0
28,2015-06-02,Tables,0.0,0.0,0,0.0
29,2015-06-02,Envelopes,0.0,0.0,0,0.0
30,2015-06-02,Bookcases,0.0,0.0,0,0.0
31,2015-06-02,Fasteners,0.0,0.0,0,0.0
32,2015-06-02,Supplies,0.0,0.0,0,0.0
33,2015-06-02,Machines,0.0,0.0,0,0.0
34,2015-06-02,Copiers,0.0,0.0,0,0.0
35,2015-06-03,Envelopes,0.0,15.28,2,7.4872
36,2015-06-03,Furnishings,0.6,61.544,7,-40.0036
37,2015-06-03,Labels,0.2,15.936000000000002,4,5.1792
38,2015-06-03,Storage,0.2,132.696,3,9.952199999999998
39,2015-06-03,Tables,0.0,515.88,6,113.49359999999999
40,2015-06-03,Paper,0.0,0.0,0,0.0
41,2015-06-03,Binders,0.0,0.0,0,0.0
42,2015-06-03,Phones,0.0,0.0,0,0.0
43,2015-06-03,Art,0.0,0.0,0,0.0
44,2015-06-03,Accessories,0.0,0.0,0,0.0
45,2015-06-03,Chairs,0.0,0.0,0,0.0
46,2015-06-03,Appliances,0.0,0.0,0,0.0
47,2015-06-03,Bookcases,0.0,0.0,0,0.0
48,2015-06-03,Fasteners,0.0,0.0,0,0.0
49,2015-06-03,Supplies,0.0,0.0,0,0.0
50,2015-06-03,Machines,0.0,0.0,0,0.0
51,2015-06-03,Copiers,0.0,0.0,0,0.0
52,2015-06-04,Appliances,0.0,15.56,4,4.0456
